spa,por,rom,fra,ita,lat
pɾaɡmatiko,pɹɐɡmatikʊ,pʁaɡmatik,pʁaɡmatik,praɡmatiko,praɡmatɪkʊm
paβon,pɐvɐ̃ʊ̃,pɑ̃,pɑ̃,pavone,paːwoːnɛm
deskalθaɾ,dɨʃkɑlsaɹ,deʃose,deʃose,diskaltsare,dɪskalkɪaːrɛ
alkoɾnoke,keɾəkʊ,<blank>,<blank>,kwɛrtʃa,kwɛrkʊm
eneɾxia,enɨɾəʒiɐ,enɛʁʒi,enɛʁʒi,enerdʒia,ɛnɛrɡiːam
<blank>,<blank>,<blank>,<blank>,<blank>,skiːrɛ
peɾsona,pɨsoɐ,pɛʁsɔn,pɛʁsɔn,persona,pɛrsoːnam
<blank>,<blank>,ɔbstetʁik,ɔbstetʁik,ostɛtrika,ɔbstɛtriːkɛm
intoleɾanθja,iŋtulɨɾɐ̃ŋsjɐ,ɛ̃toleʁɑ̃s,ɛ̃toleʁɑ̃s,intollerantsa,ɪntɔlɛrantɪam
domaɾ,dumaɹ,<blank>,<blank>,domare,dɔmaːrɛ
reteneɾ,ʁɨteɹ,ʁətniʁ,ʁətniʁ,ritenɛre,rɛtɪneːrɛ
diβulɣaθjon,divuwɡɐsɐ̃ʊ̃,divylɡasjɔ̃,divylɡasjɔ̃,divulɡatsione,diːwʊlɡaːtɪoːnɛm
kɾuel,kɹuɛl,kʁyɛl,kʁyɛl,krudɛle,kruːdeːlɛm
<blank>,<blank>,abilite,abilite,<blank>,habɪlɪtaːrɛ
oɾβeðad,<blank>,<blank>,<blank>,<blank>,ɔrbɪtaːtɛm
tiɾaniko,tiɾɐ̃nikʊ,tiʁanik,tiʁanik,tiranniko,tyrannɪkʊm
diβinaɾ,ɐdiviɲaɹ,dəvine,dəvine,divinare,diːwiːnaːrɛ
kɾiminal,kɹiminɑl,kʁiminɛl,kʁiminɛl,kriminale,kriːmɪnaːlɛm
aklaɾaɾ,ɐklɐɾaɹ,<blank>,<blank>,<blank>,akklaːraːrɛ
<blank>,<blank>,ʒybilasjɔ̃,ʒybilasjɔ̃,<blank>,juːbɪlaːtɪoːnɛm
<blank>,<blank>,desɛptif,desɛptif,detʃettivo,dɛkɛptiːwʊm
solo,<blank>,sɔl,sɔl,solo,sɔlʊm
kompɾendeɾ,kumpɹieɪŋdeɹ,kɔ̃pʁɑ̃dʁ,kɔ̃pʁɑ̃dʁ,komprɛndere,kɔmprɛhɛndɛrɛ
ekstoɾsjon,eʃtuɾəsɐ̃ʊ̃,ɛkstɔʁsjɔ̃,ɛkstɔʁsjɔ̃,estorsione,ɛkstɔrsɪoːnɛm
aɾβitɾio,ɐɾəbitrjʊ,aʁbitʁ,aʁbitʁ,arbitrio,arbɪtrɪʊm
eskandaliθaɾ,ʃkɐ̃ŋdɐlizaɹ,skɑ̃dalize,skɑ̃dalize,skandalidzzare,skandalɪzzaːrɛ
kombenjɛnθja,kuŋvɨnjeɪŋsjɐ,kɔ̃vnɑ̃s,kɔ̃vnɑ̃s,konvenjɛntsa,kɔnwɛnɪɛntɪam
restaʊɾaðoɾ,ʁeʃtaʊɾɐdoɹ,ʁɛstoʁatœʁ,ʁɛstoʁatœʁ,restauratore,rɛstaʊraːtoːrɛm
<blank>,iŋfɨɾioɹ,ɛ̃feʁjœʁ,ɛ̃feʁjœʁ,infero,iːnfɛrʊm
estoɪko,ʃtɔɪkʊ,stɔik,stɔik,stɔiko,stoːɪkʊm
<blank>,<blank>,<blank>,<blank>,dolozita,dɔloːsɪtaːtɛm
akwaɾjo,ɐkwaɾjʊ,akwaʁjɔm,akwaʁjɔm,akkwario,akwaːrɪʊm
kaɲamo,<blank>,ʃɑ̃vʁ,ʃɑ̃vʁ,kanapa,kannabɛm
inspiɾaθjon,iŋspiɾɐsɐ̃ʊ̃,ɛ̃spiʁasjɔ̃,ɛ̃spiʁasjɔ̃,ispiratsione,iːnspiːraːtɪoːnɛm
<blank>,klimɐtɛɾikʊ,<blank>,<blank>,klimateriko,kliːmakteːrɪkʊm
laʊɾel,luwɾeɪɾʊ,<blank>,<blank>,lauro,laʊrʊm
eɾβaθeo,eɾəbasiʊ,ɛʁbase,ɛʁbase,erbatʃeo,hɛrbaːkɛʊm
tɾepiðaθjon,tɹepidɐsɐ̃ʊ̃,tʁepidasjɔ̃,tʁepidasjɔ̃,trepidatsione,trɛpɪdaːtɪoːnɛm
aɾðoɾ,ɐɾədoɹ,aʁdœʁ,aʁdœʁ,ardore,ardoːrɛm
<blank>,<blank>,oʁatœʁ,oʁatœʁ,oratore,oːraːtoːrɛm
uɾna,uɾənɐ,yʁn,yʁn,urna,ʊrnam
remeθeɾ,ʁemɨʃeɹ,<blank>,<blank>,<blank>,rɛmɪskeːrɛ
koɾnuðo,kuɾənudʊ,kɔʁny,kɔʁny,kornuto,kɔrnuːtʊm
imbaðiɾ,iŋvɐdiɹ,ɑ̃vaiʁ,ɑ̃vaiʁ,invadere,ɪnwaːdɛrɛ
imaxen,imaʒeɪŋ,imaʒ,imaʒ,immadʒine,ɪmaːɡɪnɛm
ximja,<blank>,sɛ̃ʒ,sɛ̃ʒ,ʃimmia,siːmɪam
postumo,pɔʃtumʊ,postym,postym,pɔstumo,pɔstʰʊmʊm
oloɾ,ɔloɹ,<blank>,<blank>,<blank>,ɔloːrɛm
romaθa,<blank>,ʁɔ̃s,ʁɔ̃s,rɔmitʃe,rʊmɪkɛm
noluntad,<blank>,<blank>,<blank>,<blank>,noːlʊntaːtɛm
diɾekθjon,diɾɨsɐ̃ʊ̃,diʁɛksjɔ̃,diʁɛksjɔ̃,diretsione,diːreːktɪoːnɛm
inskɾipθjon,iŋskɹisɐ̃ʊ̃,ɛ̃skʁipsjɔ̃,ɛ̃skʁipsjɔ̃,iskritsione,iːnskriːptɪoːnɛm
sufiθjɛnte,sufisieɪŋtɨ,syfizɑ̃,syfizɑ̃,suffitʃɛnte,sʊffɪkɪɛntɛm
anteβeniɾ,<blank>,<blank>,<blank>,<blank>,antɛwɛniːrɛ
<blank>,<blank>,<blank>,<blank>,paɡanita,paːɡaːnɪtaːtɛm
kontɾaðeθiɾ,kuŋtɹɐdizeɹ,kɔ̃tʁədiʁ,kɔ̃tʁədiʁ,kontraddire,kɔntraːdiːkɛrɛ
osanna,uzɐ̃nɐ,ozana,ozana,ozanna,hoːsanna
pɾospekto,pɹuʃpɛtʊ,pʁɔspɛktys,pʁɔspɛktys,prospɛtto,prɔspɛktʊm
demostɾatiβo,dɨmuŋstɹɐtivʊ,demɔ̃stʁatif,demɔ̃stʁatif,dimostrativo,deːmɔnstraːtiːwʊm
toɾpe,tɔɾəpɨ,tyʁpid,tyʁpid,turpe,tʊrpɛm
moɾo,mɔɾʊ,myːʁ,myːʁ,mɔro,moːrʊm
saŋɡinaɾjo,<blank>,sɑ̃ɡinɛʁ,sɑ̃ɡinɛʁ,saŋɡwinario,saŋɡwɪnaːrɪʊm
koŋɡlutinaɾ,kuŋɡlutinaɹ,kɔ̃ɡlytine,kɔ̃ɡlytine,koŋɡlutinare,kɔŋɡluːtɪnaːrɛ
<blank>,<blank>,<blank>,<blank>,ipodʒɛo,hypɔɡaɪʊm
liβaɾ,<blank>,<blank>,<blank>,libare,liːbaːrɛ
beɾsatil,veɾəsatil,vɛʁsatil,vɛʁsatil,<blank>,wɛrsaːtɪlɛm
peθ,peɪʃɨ,pwasɔ̃,pwasɔ̃,peʃe,pɪskɛm
biɣa,viɡɐ,<blank>,<blank>,bika,biːɡam
<blank>,<blank>,ɡluse,ɡluse,kiotʃʃare,ɡloːkiːrɛ
ulθeɾa,<blank>,ylsɛʁ,ylsɛʁ,ultʃera,ʊlkʊs
<blank>,<blank>ɐɾəkiɐ,<blank>,<blank>,<blank>arkia,<blank>arkʰɪam
asetʃaɾ,ɐseɪtaɹ,<blank>,<blank>,<blank>,assɛktaːriː
kliɛnte,klieɪŋtɨ,kliɑ̃,kliɑ̃,kliɛnte,klɪɛntɛm
konsonante,kuŋsuɐ̃ŋtɨ,kɔ̃sonɑ̃,kɔ̃sonɑ̃,konsonante,koːnsɔnantɛm
aβismo,ɐbiʒmʊ,abim,abim,abisso,abyssʊm
koɾneo,kɔɾəniʊ,<blank>,<blank>,kɔrnio,kɔrnɛʊm
nominaθjon,numinɐsɐ̃ʊ̃,nominasjɔ̃,nominasjɔ̃,nominatsione,noːmɪnaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,prenotatsione,praɪnɔtaːtɪoːnɛm
biʎa,vilɐ,vil,vil,villa,wiːllam
astuθja,ɐʃtusjɐ,astys,astys,astutsia,astuːtɪam
bajo,baɪʊ,be,be,baio,badɪʊm
<blank>,dɨmuveɹ,<blank>,<blank>,<blank>,deːmɔweːrɛ
plasmaɾ,plɐʒmaɹ,<blank>,<blank>,<blank>,plasmaːrɛ
tɾiumfaɾ,tɹiũŋfaɹ,tʁiɔ̃fe,tʁiɔ̃fe,trionfare,trɪʊmpʰaːrɛ
eksixiɾ,eziʒiɹ,ɛɡziʒe,ɛɡziʒe,ezidʒere,ɛksɪɡɛrɛ
konteneɾ,kuŋteɹ,kɔ̃tniʁ,kɔ̃tniʁ,kontenere,kɔntɪneːrɛ
tjɛnda,teɪŋdɐ,tɑ̃t,tɑ̃t,tɛnda,tɛndam
pɾoroɣaɾ,pɹuʁuɡaɹ,pʁoʁoʒe,pʁoʁoʒe,proroɡare,proːrɔɡaːrɛ
paskwa,pɐʃkoɐ,paːk,paːk,paskwa,paskʰam
nefando,nefɐ̃ŋdʊ,<blank>,<blank>,<blank>,nɛfandʊm
relβaɾ,ʁɛlvaɹ,ʁəlve,ʁəlve,rilevare,rɛlɛwaːrɛ
impɾuðɛnte,impɹudeɪŋtɨ,ɛ̃pʁydɑ̃,ɛ̃pʁydɑ̃,imprudɛnte,ɪmpruːdɛntɛm
retɾoθeðeɾ,ʁetɹusɨdeɹ,ʁetʁosede,ʁetʁosede,retrotʃedere,rɛtroːkeːdɛrɛ
nweθa,<blank>,<blank>,<blank>,<blank>,nɔdɪam
oɾðen,ɔɾədeɪŋ,ɔʁdʁ,ɔʁdʁ,ɔrdine,oːrdɪnɛm
inteɾpɾete,iŋtɛɾəpɹɨtɨ,ɛ̃tɛʁpʁɛ,ɛ̃tɛʁpʁɛ,interprete,ɪntɛrprɛtɛm
loðo,lodʊ,ly,ly,lɔto,lʊtʊm
pɾeɣuntaɾ,peɾəɡũŋtaɹ,<blank>,<blank>,<blank>,pɛrkɔntaːriː
fluktwaɾ,flutuaɹ,flyktye,flyktye,fluttuare,flʊktʊaːrɛ
θineɾaɾjo,sinɨɾaɾjʊ,sineʁɛʁ,sineʁɛʁ,tʃinerario,kɪnɛraːrɪʊm
satisfakθjon,sɐtiʃfɐsɐ̃ʊ̃,satisfaksjɔ̃,satisfaksjɔ̃,soddisfatsione,satɪsfaktɪoːnɛm
insistiɾ,iŋsiʃtiɹ,ɛ̃siste,ɛ̃siste,insistere,iːnsɪstɛrɛ
rio,ʁiʊ,ʁy,ʁy,rivo,riːwʊm
ekstɾakθjon,estɹɐsɐ̃ʊ̃,ɛkstʁaksjɔ̃,ɛkstʁaksjɔ̃,estratsione,ɛkstraːktɪoːnɛm
obnuβilaɾ,<blank>,ɔbnybile,ɔbnybile,obnubilare,ɔbnuːbɪlaːrɛ
en,eɪŋ,ɑ̃,ɑ̃,iːn,ɪn
ɡoβeɾnaɾ,ɡuvɨɾənaɹ,ɡuvɛʁne,ɡuvɛʁne,ɡovernare,ɡʊbɛrnaːrɛ
bexaɾ,vɨʃaɹ,vɛkse,vɛkse,vessare,weːksaːrɛ
ɡlanduloso,ɡlɐ̃ŋdulozʊ,<blank>,<blank>,<blank>,ɡlandʊloːsʊm
neɣɾeθeɾ,<blank>,nwaʁsiʁ,nwaʁsiʁ,<blank>,nɪɡreːskɛrɛ
paɣano,pɐɡɐ̃ʊ̃,pɛjɛ̃,pɛjɛ̃,paɡano,paːɡaːnʊm
nalɣa,nɑlɡɐ,naʃ,naʃ,natika,natɛm
estɾepito,ʃtɹɛpitʊ,<blank>,<blank>,strɛpito,strɛpɪtʊm
tata,tɐta,tɛ,tɛ,tata,tatam
pɾoxenitoɾ,pɹuʒɨnitoɹ,pʁoʒenitœʁ,pʁoʒenitœʁ,prodʒenitore,proːɡɛnɪtoːrɛm
<blank>,<blank>,ɔksiʁ,ɔksiʁ,utʃʃidere,ɔkkɪdɛrɛ
<blank>,ʃtɹovʊ,ɛstʁɔp,ɛstʁɔp,strɔppo,strɔppʊm
fama,fɐ̃mɐ,famø,famø,fama,faːmam
kapa,kapɐ,kap,kap,kappa,kappam
<blank>,pɹeɲɐ,<blank>,<blank>,<blank>,praɪŋnantɛm
oɾixinaɾjo,ɔɾiʒinaɾjʊ,oʁiʒinɛʁ,oʁiʒinɛʁ,oridʒinario,ɔriːɡɪnaːrɪʊm
bestimɛnto,<blank>,vɛtmɑ̃,vɛtmɑ̃,vestimento,wɛstiːmɛntʊm
mesteɾ,mɨʃteɹ,metje,metje,mestiɛre,mɪnɪstɛrɪʊm
<blank>,seɡnisjɐ,<blank>,<blank>,<blank>,sɛŋnɪtɪam
ospital,uʃpitɑl,opital,opital,ospitale,hɔspɪtaːlɛm
<blank>,ʃpuɾəkʊ,<blank>,<blank>,spɔrko,spʊrkʊm
pɾopuɡnaɾ,<blank>,<blank>,<blank>,propuɲare,proːpʊŋnaːrɛ
esplendiðo,ʃpleɪŋdidʊ,splɑ̃did,splɑ̃did,splɛndido,splɛndɪdʊm
aɾmila,ɐɾəmilɐ,<blank>,<blank>,<blank>,armɪllam
neθesiðad,nesɨsidadɨ,nesɛsite,nesɛsite,netʃessita,nɛkɛssɪtaːtɛm
klima,klimɐ,klima,klima,klima,klɪmam
<blank>,aʊɾiʒinozʊ,<blank>,<blank>,<blank>,aʊruːɡɪnoːsʊm
xeɾmen,ʒɛɾəmɨ,ʒɛʁm,ʒɛʁm,dʒɛrme,ɡɛrmɛn
umoɾ,umoɹ,ymœʁ,ymœʁ,umore,huːmoːrɛm
<blank>,ɐkɹidadɨ,akʁəte,akʁəte,<blank>,aːkrɪtaːtɛm
ombɾe,omeɪŋ,ɔm,ɔm,wɔmo,hɔmɪnɛm
kinjɛntos,kiɲeɪŋtʊʃ,<blank>,<blank>,<blank>,kwiːŋɡɛntoːs
paniθo,pɐiŋsʊ,<blank>,<blank>,panitʃʃa,paːnɪkɪʊm
<blank>,nemuɾɑl,nemoʁal,nemoʁal,nemorale,nɛmɔraːlɛm
<blank>θiðjo,<blank>,<blank>,<blank>,<blank>tʃidio,<blank>kiːdɪʊm
reseɾβaθjon,ʁezɨɾəvɐsɐ̃ʊ̃,ʁezɛʁvasjɔ̃,ʁezɛʁvasjɔ̃,rizervatsione,rɛsɛrwaːtɪoːnɛm
aponeɾ,ɐpoɹ,apoze,apoze,appɔrre,appoːnɛrɛ
afiɾmaθjon,ɐfiɾəmɐsɐ̃ʊ̃,afiʁmasjɔ̃,afiʁmasjɔ̃,affermatsione,affɪrmaːtɪoːnɛm
bifuɾkaɾse,<blank>,<blank>,<blank>,<blank>,bɪfʊrkʊm
foɾtwito,<blank>,<blank>,<blank>,fɔrtuito,fɔrtʊiːtʊm
ɡɾafiko,ɡɹafikʊ,ɡʁafik,ɡʁafik,ɡrafiko,ɡrapʰɪkʊm
inkjetaɾ,<blank>,ɛ̃kjete,ɛ̃kjete,inkwjetare,ɪŋkwɪeːtaːrɛ
impɾoβiðad,<blank>,ɛ̃pʁobite,ɛ̃pʁobite,<blank>,ɪmprɔbɪtaːtɛm
monstɾuo,moŋstɹʊ,mɔ̃stʁ,mɔ̃stʁ,mostro,moːnstrʊm
kɾespo,kɹeʃpʊ,kʁɛp,kʁɛp,krespo,krɪspʊm
najaðe,naɪɐdɨ,najad,najad,najade,naːjadɛm
esθindiɾ,siŋdiɹ,sɛ̃de,sɛ̃de,ʃindere,skɪndɛrɛ
eksiljo,eziljʊ,ɛɡzil,ɛɡzil,ezilio,ɛkssɪlɪʊm
epilepptiko,epilɛptikʊ,epilɛptik,epilɛptik,epilɛttiko,ɛpɪleːptɪkʊm
umilðad,umildadɨ,ymilite,ymilite,umilta,hʊmɪlɪtaːtɛm
indukθjon,iŋdusɐ̃ʊ̃,ɛ̃dyksjɔ̃,ɛ̃dyksjɔ̃,indutsione,ɪndʊktɪoːnɛm
lɛŋɡwa,liŋɡwɐ,lɑ̃ɡ,lɑ̃ɡ,liŋɡwa,lɪŋɡwam
femenino,femininʊ,feminɛ̃,feminɛ̃,femminino,feːmɪniːnʊm
<blank>,<blank>,<blank>,<blank>,onorifitʃɛntsa,hɔnoːrɪfɪkɛntɪam
aɣɾikultuɾa,ɐɡɹikuwtuɾɐ,aɡʁikyltyʁ,aɡʁikyltyʁ,aɡrikoltura,aɡrɪkʊltuːram
sumo,sumʊ,<blank>,<blank>,sommo,sʊmmʊm
maɾsupjo,<blank>,<blank>,<blank>,marsupio,marsuːpɪʊm
θensoɾ,seɪŋsoɹ,sɑ̃sœʁ,sɑ̃sœʁ,tʃensore,keːnsoːrɛm
tundiɾ,tuzaɹ,<blank>,<blank>,<blank>,tʊndɛrɛ
pɾeðikaθjon,pɹedikɐsɐ̃ʊ̃,pʁedikasjɔ̃,pʁedikasjɔ̃,predikatsione,praɪdɪkaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,arpinate,arpiːnaːtɛm
eskwela,ʃkɔlɐ,ekɔl,ekɔl,skuɔla,skʰɔla
dukto,dutʊ,<blank>dyi,<blank>dyi,dɔtto,dʊktʊm
imaxinatiβo,imɐʒinɐtivʊ,imaʒinatif,imaʒinatif,immadʒinativo,ɪmaːɡɪnaːtɪwʊm
aβɾeβjaɾ,ɐbɹɨviaɹ,abʁevje,abʁevje,abbrevjare,abbrɛwɪaːrɛ
dwelo,dɔ,dœj,dœj,duɔlo,dɔlʊm
seɡmɛnto,seɡmeɪŋtʊ,sɛɡmɑ̃,sɛɡmɑ̃,seɡmento,sɛɡmɛntʊm
fɾikθjon,fɹisɐ̃ʊ̃,fʁiksjɔ̃,fʁiksjɔ̃,fritsione,frɪktɪoːnɛm
<blank>,fɛʃtʊ,fɛt,fɛt,fɛsto,feːstʊm
<blank>,<blank>,<blank>,<blank>,vetere,wɛtɛrɛm
<blank>,ɔbnɔksjʊ,<blank>,<blank>,<blank>,ɔbnɔksɪʊm
impeɾtuɾβaβle,impɨɾətuɾəbavɛl,ɛ̃pɛʁtyʁbabl,ɛ̃pɛʁtyʁbabl,imperturbabile,ɪmpɛrtʊrbaːbɪlɛm
ʎanten,plɐ̃ŋtaɡʊ,plɑ̃tɛ̃,plɑ̃tɛ̃,pjantadʒʒine,plantaːɡɪnɛm
enseɲaɾ,eɪŋsinaɹ,ɑ̃sɛɲe,ɑ̃sɛɲe,inseɲare,iːnsɪŋnaːrɛ
disimulaɾ,disimulaɹ,disimyle,disimyle,dissimulare,dɪssɪmʊlaːrɛ
famulo,fɐ̃mulʊ,<blank>,<blank>,famulo,famʊlʊm
<blank>,<blank>,amɛʁtym,amɛʁtym,amaritudine,amaːrɪtuːdɪnɛm
eksoɾtaɾ,ezuɾətaɹ,ɛɡzɔʁte,ɛɡzɔʁte,ezortare,ɛkshɔrtaːriː
ostɾa,oʃtɹɐ,yitʁ,yitʁ,ɔstrika,ɔstrɛam
tɾifoljaða,<blank>,tʁifolje,tʁifolje,trifoʎato,trɪfɔlɪaːtʊm
matɾiθiða,mɐtɹisidɐ,matʁisid,matʁisid,<blank>,maːtrɪkiːdam
etʃo,feɪtʊ,fɛ,fɛ,fatto,faktʊm
ʎeɾa,<blank>,<blank>,<blank>,ɡjaia,ɡlaːrɛam
aɾtifiθjal,ɐɾətifisiɑl,aʁtifisjɛl,aʁtifisjɛl,artifitʃale,artɪfɪkɪaːlɛm
inspekθjon,iŋspɨsɐ̃ʊ̃,ɛ̃spɛksjɔ̃,ɛ̃spɛksjɔ̃,ispetsione,iːnspɛktɪoːnɛm
<blank>,<blank>,malefis,malefis,<blank>,malɛfɪkɪʊm
lanθa,lɐ̃ŋsɐ,lɑ̃s,lɑ̃s,lantʃa,laŋkɛam
papel,pɐpɛl,papje,papje,papiro,papyrʊm
θiɾkunnaβeɣaɾ,siɾəkũŋnɐvɨɡaɹ,siʁkymnaviɡe,siʁkymnaviɡe,tʃirkumnaviɡare,kɪrkʊmnaːwɪɡaːrɛ
despeɾaðo,dɨʃpɨɾadʊ,dezɛspeʁe,dezɛspeʁe,disperato,deːspeːraːtʊm
<blank>,<blank>,<blank>,<blank>,antirrino,antɪrrhiːnɔn
<blank>,ɐblɨɡɐsɐ̃ʊ̃,<blank>,<blank>,ableɡatsione,ableːɡaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,<blank>,kaʊkʊm
<blank>,<blank>,otuʁ,otuʁ,astore,astʊrɛm
nefɾitiko,nefɹitikʊ,nefʁetik,nefʁetik,nefritiko,nɛpʰrɪtɪkʊm
pululaɾ,pululaɹ,pylyle,pylyle,pullulare,pʊllʊlaːrɛ
supino,supinʊ,<blank>,<blank>,supino,sʊpiːnʊm
falsaɾ,fɑlsaɹ,fose,fose,falsare,falsaːrɛ
<blank>,eɾaɾjʊ,<blank>,<blank>,erario,aɪraːrɪʊm
mateɾnal,<blank>,<blank>,<blank>,<blank>,maːtɛrnaːlɛm
pekwaɾjo,pekwaɾjʊ,<blank>,<blank>,<blank>,pɛkʊaːrɪʊm
eβuʎiθjon,ebulisɐ̃ʊ̃,ebylisjɔ̃,ebylisjɔ̃,ebollitsione,eːbʊlliːtɪoːnɛm
naɾðo,naɾədʊ,naʁ,naʁ,nardo,nardʊm
<blank>,ɐɡɹɛlɐ,<blank>,<blank>,<blank>,aɡrɛllʊm
kwaðɾante,kwɐdɹɐ̃ŋtɨ,kwadʁɑ̃,kwadʁɑ̃,kwadrante,kwadrantɛm
remoβeɾ,ʁemuveɹ,ʁəmuvwaʁ,ʁəmuvwaʁ,rimuɔvere,rɛmɔweːrɛ
bomito,vomitʊ,vomi,vomi,vɔmito,wɔmɪtʊm
konsustanθjaliðad,kuŋsubstɐ̃ŋsiɐlidadɨ,kɔ̃sybstɑ̃tjalite,kɔ̃sybstɑ̃tjalite,konsustantsjalita,kɔnsʊbstaːntɪaːlɪtaːtɛm
alβeðine,ɑlbedʊ,albedo,albedo,albɛdine,albeːdɪnɛm
onraɾ,uŋʁaɹ,onoʁe,onoʁe,onorare,hɔnoːraːrɛ
deliβeɾatiβo,dɨlibeɾɐtivʊ,delibeʁatif,delibeʁatif,deliberativo,deːliːbɛraːtiːwʊm
<blank>,<blank>,<blank>,<blank>,rɔɡo,rɔɡʊm
amfiteatɾo,ɐ̃ŋfitiatɹʊ,ɑ̃fiteaːtʁ,ɑ̃fiteaːtʁ,anfiteatro,ampʰɪtʰɛaːtrʊm
komfundiɾ,kuŋfũŋdiɹ,kɔ̃fɔ̃dʁ,kɔ̃fɔ̃dʁ,konfondere,koːnfʊndɛrɛ
fimbɾia,fɹɐ̃ŋʒɐ,fʁɑ̃ʒ,fʁɑ̃ʒ,frandʒa,fɪmbrɪam
beɾekundja,veɾɨkũŋdjɐ,veʁekɔ̃di,veʁekɔ̃di,verekondia,wɛreːkʊndɪam
uɾxɛnte,uɾəʒeɪŋtɨ,yʁʒɑ̃,yʁʒɑ̃,urdʒɛnte,ʊrɡɛntɛm
repptaɾ,ʁɨptaɹ,ʁepyte,ʁepyte,reputare,rɛpʊtaːrɛ
θeɲiɾ,siŋʒiɹ,sɛ̃dʁ,sɛ̃dʁ,tʃindʒere,kɪŋɡɛrɛ
<blank>,<blank>,ɛkstɛ̃ktœʁ,ɛkstɛ̃ktœʁ,<blank>,ɛksstɪŋktoːrɛm
atiŋxiɾ,ɐtiŋʒiɹ,atɛ̃dʁ,atɛ̃dʁ,attindʒere,attɪŋɡɛrɛ
imponeɾ,impoɹ,ɛ̃poze,ɛ̃poze,impɔrre,ɪmpoːneːrɛ
kaðuθeo,kɐduseʊ,kadyse,kadyse,kadutʃeo,kaːduːkɛʊm
palustɾe,pɐluʃtɹɨ,palystʁ,palystʁ,<blank>,paluːstrɛm
foɾmaxe,<blank>,fʁomaʒ,fʁomaʒ,formadʒʒo,foːrmaːtɪkʊm
kwesta,kɔʃtɐ,koːt,koːt,kɔsta,kɔstam
paðɾe,padɹɨ,pɛʁ,pɛʁ,padre,patrɛm
<blank>,ɐɾiɑl,<blank>,<blank>,areale,aːrɛalɛm
ekitaθjon,ekitɐsɐ̃ʊ̃,ekitasjɔ̃,ekitasjɔ̃,ekwitatsione,ɛkwɪtaːtɪoːnɛm
tempoɾal,teɪmpuɾɑl,tɑ̃poʁɛl,tɑ̃poʁɛl,temporale,tɛmpɔraːlɛm
bjola,<blank>,vjolɛ,vjolɛ,viɔla,wɪɔlam
retɾoɣɾaðaθjon,ʁetɹuɡɹɐdɐsɐ̃ʊ̃,ʁetʁɔɡʁadasjɔ̃,ʁetʁɔɡʁadasjɔ̃,retroɡradatsione,reːtroːɡradaːtɪoːnɛm
konkɾeθjon,<blank>,kɔ̃kʁesjɔ̃,kɔ̃kʁesjɔ̃,konkretsione,kɔŋkreːtɪoːnɛm
omnisθjo,<blank>,<blank>,<blank>,<blank>,ɔmnɪskɪʊm
kompɾensiβle,kumpɹieɪŋsivɛl,<blank>,<blank>,<blank>,kɔmprɛhɛnsɪbɪlɛm
kɾotalo,<blank>,<blank>,<blank>,krɔtalo,krɔtalʊm
osθilaθjon,ɔsilɐsɐ̃ʊ̃,ɔsilasjɔ̃,ɔsilasjɔ̃,oʃillatsione,ɔskɪllaːtɪoːnɛm
sweɾte,sɔɾətɨ,sɔʁ,sɔʁ,sɔrte,sɔrtɛm
kaɾniβoɾo,kɐɾənivuɾʊ,kaʁnivɔʁ,kaʁnivɔʁ,karnivoro,karnɪwɔrʊm
θeleβɾe,sɛlɨbɹɨ,selɛbʁ,selɛbʁ,tʃɛlebre,kɛlɛbrɛm
komfesoɾ,kuŋfɨsoɹ,kɔ̃fɛsœʁ,kɔ̃fɛsœʁ,konfessore,koːnfɛssoːrɛm
xaðe,ʒadɨ,il,il,dʒada,iːlɛ
<blank>,<blank>,toʁefje,toʁefje,<blank>,tɔrrɛfakɛrɛ
doβlo,dobɹʊ,dubl,dubl,doppio,dʊplʊm
<blank>,kɐʃtiɡaɹ,<blank>,<blank>,kastiɡare,kastiːɡaːrɛ
alondɾa,<blank>,alwɛt,alwɛt,allɔdola,alaʊdam
tina,tinɐ,tin,tin,tina,tiːnam
<blank>,<blank>,nytʁimɑ̃,nytʁimɑ̃,<blank>,nuːtriːmɛntʊm
teɾso,tɛɾəsʊ,<blank>,<blank>,tɛrso,tɛrsʊm
tentaɾ,teɪŋtaɹ,tɑ̃te,tɑ̃te,tentare,tɛmptaːrɛ
<blank>,ʃpuzaɹ,epuze,epuze,spozare,spoːnsaːrɛ
tɾetʃo,tɹeʃʊ,tʁɛ,tʁɛ,tratto,traktʊm
instɾuktoɾ,iŋstɹutoɹ,ɛ̃stʁyktœʁ,ɛ̃stʁyktœʁ,istruttore,iːnstrʊktoːrɛm
penetɾaθjon,penɛtɹɐsɐ̃ʊ̃,penetʁasjɔ̃,penetʁasjɔ̃,penetratsione,pɛnɛtraːtɪoːnɛm
komfeðeɾaθjon,kuŋfɨdɨɾɐsɐ̃ʊ̃,kɔ̃fedeʁasjɔ̃,kɔ̃fedeʁasjɔ̃,konfederatsione,koːnfɔɪdɛraːtɪoːnɛm
daðo,dadʊ,de,de,dato,datʊm
xeɾmaniko,ʒeɾəmɐ̃nikʊ,ʒɛʁmanik,ʒɛʁmanik,dʒermaniko,ɡɛrmaːnɪkʊm
